GYROSCOPE,98343665,-0.3232789,-0.07193929,-0.009717432
ACCELEROMETER,100865265,0.07185059,3.2189064,9.208851
GYROSCOPE,100865265,-0.32381153,-0.053297166,-0.009717432
ACCELEROMETER,103386737,0.026345216,3.2500417,9.335787
GYROSCOPE,103386737,-0.3296705,-0.052764535,-0.008652167
ACCELEROMETER,105908209,0.11496094,3.2380664,9.307046
GYROSCOPE,105908209,-0.3296705,-0.04477505,-0.0033258456
MAGNETIC_FIELD,105908209,22.129444,-4.1482773,-38.354702
ACCELEROMETER,108429809,0.10538086,3.276387,9.486672
GYROSCOPE,108429809,-0.33712736,-0.028263452,0.004663638
ACCELEROMETER,110951281,0.14130616,3.2021413,9.592053
GYROSCOPE,110951281,-0.34405157,-0.008556059,0.007326799
ACCELEROMETER,113472881,0.117355965,3.3578174,9.505833
GYROSCOPE,113472881,-0.33765998,0.0020965862,0.0041310056
ACCELEROMETER,115994353,0.10538086,3.2548318,9.587264
GYROSCOPE,115994353,-0.34511682,0.021271346,0.0014678445
ACCELEROMETER,118515825,0.17962648,3.391348,9.639954
GYROSCOPE,118515825,-0.33286628,0.03618505,0.0030657412
ACCELEROMETER,121037425,0.19160157,3.3578174,9.673484
GYROSCOPE,121037425,-0.32860523,0.051098753,0.009457328
ACCELEROMETER,123558897,0.15328126,3.3506324,9.644744
GYROSCOPE,123558897,-0.33339894,0.07453457,0.0035983734
ACCELEROMETER,126080497,0.09101075,3.3410523,9.577683
GYROSCOPE,126080497,-0.33606207,0.08785038,-0.0022605811
MAGNETIC_FIELD,126080497,21.754444,-3.7732773,-37.104702
ACCELEROMETER,128601969,0.07424561,3.432063,9.651929
GYROSCOPE,128601969,-0.33552945,0.09530723,0.0030657412
ACCELEROMETER,131123441,0.09340577,3.427273,9.769285
GYROSCOPE,131123441,-0.3312684,0.10223145,0.0041310056
ACCELEROMETER,133645041,0.16046631,3.3602126,9.826766
GYROSCOPE,133645041,-0.32168102,0.10223145,9.352123E-4
ACCELEROMETER,136166513,0.06706055,3.3793726,9.740545
GYROSCOPE,136166513,-0.32061574,0.09850302,-0.01397849
ACCELEROMETER,138688113,0.021555176,3.4560134,9.8866415
GYROSCOPE,138688113,-0.30783257,0.10329671,-0.0059890067
ACCELEROMETER,141209585,0.033530276,3.3530276,9.989627
GYROSCOPE,141209585,-0.3131589,0.0931767,-0.018239548
ACCELEROMETER,143731057,-0.06227051,3.3865578,9.960887
GYROSCOPE,143731057,-0.2998431,0.09690513,-0.0059890067
ACCELEROMETER,146252657,-0.035925295,3.3769777,10.054293
GYROSCOPE,146252657,-0.2881252,0.07027352,-0.011847961
MAGNETIC_FIELD,146252657,22.129444,-4.1482773,-35.917202
ACCELEROMETER,148773582,-0.06227051,3.2739918,9.987232
GYROSCOPE,148773582,-0.26628727,0.056425072,-0.0075869034
ACCELEROMETER,151295182,-0.083825685,3.2260914,10.085427
GYROSCOPE,151295182,-0.2535041,0.045239795,-0.010250065
ACCELEROMETER,153816654,-0.21794678,3.1374757,10.049502
GYROSCOPE,153816654,-0.24924304,0.024999771,-0.008119536
ACCELEROMETER,156338254,-0.25387207,3.1231055,10.092612
GYROSCOPE,156338254,-0.2321988,-0.004295001,9.352123E-4
ACCELEROMETER,158859726,-0.22992188,3.2141163,10.221944
GYROSCOPE,158859726,-0.21675247,-0.031991877,-0.0017279489
ACCELEROMETER,161381198,-0.32572266,3.1614258,10.219549
GYROSCOPE,161381198,-0.1874577,-0.063417174,0.0035983734
ACCELEROMETER,163902798,-0.32572266,3.1470559,10.27224
GYROSCOPE,163902798,-0.17147873,-0.09377721,0.0067941668
ACCELEROMETER,166424270,-0.36883304,3.1135256,10.284214
GYROSCOPE,166424270,-0.14857554,-0.118278295,0.026501559
MAGNETIC_FIELD,166424270,21.379444,-3.0232773,-36.729702
ACCELEROMETER,168945870,-0.51732427,3.1231055,10.33451
GYROSCOPE,168945870,-0.14005342,-0.14118148,0.02916472
ACCELEROMETER,171467342,-0.38080812,3.051255,10.250684
GYROSCOPE,171467342,-0.11501971,-0.16994362,0.0387521
ACCELEROMETER,173988942,-0.37362307,3.166216,10.183623
GYROSCOPE,173988942,-0.091051266,-0.19657522,0.053665802
ACCELEROMETER,176510414,-0.39517823,3.0776002,10.2315235
GYROSCOPE,176510414,-0.072941765,-0.21361946,0.05739423
ACCELEROMETER,179031886,-0.2802173,3.175796,10.075848
GYROSCOPE,179031886,-0.06655018,-0.23013106,0.07710162
ACCELEROMETER,181553486,-0.30177248,3.168611,10.092612
GYROSCOPE,181553486,-0.042049095,-0.23066369,0.08615637
ACCELEROMETER,184074958,-0.26105714,3.1901662,10.023157
GYROSCOPE,184074958,-0.028733289,-0.25782794,0.092015326
ACCELEROMETER,186596558,-0.27303225,3.1326857,9.956097
GYROSCOPE,186596558,-0.014884852,-0.26315427,0.10000481
MAGNETIC_FIELD,186596558,21.379444,-3.0232773,-37.917202
ACCELEROMETER,189118030,-0.16525635,3.1494508,10.015972
GYROSCOPE,189118030,0.0053551733,-0.2615564,0.11491851
ACCELEROMETER,191639630,-0.14370118,3.1901662,9.884246
GYROSCOPE,191639630,0.011214128,-0.26102376,0.11917957
ACCELEROMETER,194161102,-0.081430666,3.180586,9.764495
GYROSCOPE,194161102,0.023997301,-0.25995848,0.12983221
ACCELEROMETER,196682702,-0.026345216,3.2428565,9.707015
GYROSCOPE,196682702,0.026660463,-0.24770792,0.12770168
ACCELEROMETER,199204174,0.06466553,3.2692018,9.431587
GYROSCOPE,199204174,0.03251942,-0.24611002,0.13515854
ACCELEROMETER,201725646,0.12693603,3.271597,9.477093
GYROSCOPE,201725646,0.04317206,-0.23599002,0.13089748
ACCELEROMETER,204247246,0.23710695,3.2213013,9.374106
GYROSCOPE,204247246,0.04956365,-0.23279423,0.12450589
ACCELEROMETER,206768718,0.26584718,3.2476466,9.273516
GYROSCOPE,206768718,0.03251942,-0.20562997,0.1197122
MAGNETIC_FIELD,206768718,22.129444,-3.3982773,-37.104702
ACCELEROMETER,209290318,0.33769777,3.2093263,9.239985
GYROSCOPE,209290318,0.05222681,-0.1976405,0.11119008
ACCELEROMETER,211811790,0.38080812,3.2404616,9.134604
GYROSCOPE,211811790,0.03251942,-0.19391207,0.11225535
ACCELEROMETER,214333390,0.39278322,3.2859669,9.206455
GYROSCOPE,214333390,0.02612783,-0.1811289,0.09734164
ACCELEROMETER,216854862,0.35685793,3.283572,9.189691
GYROSCOPE,216854862,0.026660463,-0.16781309,0.08722163
ACCELEROMETER,219376462,0.2921924,3.278782,9.127419
GYROSCOPE,219376462,0.008018333,-0.16248676,0.07976478
ACCELEROMETER,221897934,0.35685793,3.2524366,9.19927
GYROSCOPE,221897934,0.009616231,-0.15716045,0.068046875
ACCELEROMETER,224419406,0.40954837,3.2524366,9.101074
GYROSCOPE,224419406,-0.009025898,-0.14597517,0.063785814
ACCELEROMETER,226941006,0.33530274,3.3266823,8.909473
GYROSCOPE,226941006,-0.018080646,-0.14011621,0.05739423
MAGNETIC_FIELD,226941006,21.754444,-2.3357773,-38.354702
ACCELEROMETER,229462478,0.32332766,3.3218923,9.060359
GYROSCOPE,229462478,-0.025004864,-0.13265936,0.041947894
ACCELEROMETER,231984078,0.35685793,3.3218923,8.933423
GYROSCOPE,231984078,-0.03139645,-0.118278295,0.040349998
ACCELEROMETER,234505550,0.2802173,3.3314724,8.983719
GYROSCOPE,234505550,-0.032461714,-0.113484606,0.04301316
ACCELEROMETER,237027150,0.20597169,3.2380664,8.897498
