AceleradorX,AceleradorY,AceleradorZ,Modulo
-3.3065948,10.762039,2.5579224,11.545476
-1.5631866,8.482193,-1.7718506,8.805147
-2.0804596,9.056946,0.81451416,9.328452
-0.2029419,8.501358,-0.35414124,8.511151
-1.1225433,8.788727,-1.6377411,9.010218
-0.5477905,8.463043,-1.2162628,8.567524
-0.70106506,8.8845215,-0.54571533,8.928831
-0.35621643,10.206451,-0.25834656,10.215933
-1.3141327,10.819504,-2.0209045,11.084794
-2.0996094,11.719955,1.657486,12.021355
-1.6206512,8.788727,0.9677887,8.989152
-1.0459137,6.70047,1.7915955,7.0142746
-1.2949677,5.5509796,2.5004425,6.22435
-0.6435852,7.6200714,3.8223724,8.549282
-2.3486786,11.547531,5.220932,12.888751
-3.4023743,14.268005,1.1018982,14.709395
3.5712433,14.421265,-5.028763,15.684869
-2.444458,9.899918,-0.10507202,10.197783
-0.45199585,7.3901825,-0.22003174,7.4072604
-0.79685974,8.731262,-0.10507202,8.768179
-1.4099121,9.095261,0.029037476,9.203938
-0.930954,10.43634,0.2589264,10.480979
-1.6972961,10.417191,-2.2699585,10.795897
-0.45199585,9.670013,1.1593628,9.749748
-0.27957153,6.508896,0.33555603,6.5235333
-1.9655151,6.5855255,1.7341156,7.0879865
-0.5477905,7.0836487,3.4775238,7.910204
-1.486557,8.367249,4.2630157,9.507576
-1.486557,7.6775513,6.657791,10.270386
-4.302826,8.482193,2.117279,9.743961
-1.199173,8.712097,1.3509521,8.8974
-1.486557,9.095261,-0.08592224,9.216344
-0.72021484,8.233139,-0.909729,8.314499
-0.3179016,8.865372,-0.8714142,8.913767
-0.12631226,8.712097,-0.622345,8.73521
-0.79685974,9.267685,-1.3695221,9.402157
-0.43284607,10.953613,-1.2162628,11.0294285
-2.6935272,8.405563,0.75704956,8.858991
-2.252884,9.095261,1.2551575,9.453817
-1.8122406,7.294388,1.7149658,7.709307
-1.7930908,8.233139,2.174759,8.70226
-3.2874298,9.478424,2.634552,10.372492
-1.4482269,8.041565,-0.22003174,8.173894
-2.5977325,9.708328,-0.66067505,10.071562
-1.8122406,8.673782,-0.41160583,8.870633
-2.3103638,9.037796,-0.7756195,9.360616
-2.0804596,8.865372,-0.622345,9.127456
-1.9080353,8.980316,-0.3349762,9.186887
-1.9080353,8.922836,-0.5074005,9.138658
-2.00383,8.961151,-0.52656555,9.197545
-2.0229797,8.865372,-0.4690857,9.105345
-2.00383,8.922836,-0.39245605,9.153489
-2.0421448,8.903687,-0.29666138,9.139693
-2.00383,8.903687,-0.35414124,9.133257
-1.9846649,8.922836,-0.25834656,9.144542
-2.00383,8.922836,-0.3349762,9.151204
-1.9655151,8.8845215,-0.27749634,9.103569
-1.9846649,8.903687,-0.29666138,9.127023
-2.00383,8.922836,-0.3349762,9.151204
-1.6589813,8.865372,0.048187256,9.019388
-1.9846649,8.903687,-0.23918152,9.125335
-2.0421448,8.865372,-0.22003174,9.100197
-1.9655151,8.922836,-0.22003174,9.139402
-2.2911987,9.095261,0.9869385,9.431193
---,---,---,---
-1.3524475,8.980316,0.067352295,9.081836
-1.5057068,9.037796,-0.22003174,9.165006
-1.4290771,8.961151,-0.22003174,9.077054
-1.4482269,9.056946,-0.0667572,9.172245
-1.5440216,9.037796,-0.25834656,9.172377
-1.5057068,9.037796,-0.047607422,9.162487
-1.0842285,9.344315,1.0061035,9.460656
-2.0804596,8.558838,2.1555939,9.067999
-1.4482269,8.865372,3.2667847,9.5584545
-1.2374878,7.8691254,3.2093048,8.588023
-1.2566528,7.485962,3.5350037,8.373473
-1.4099121,7.3710175,3.9756317,8.492667
-2.0421448,8.386414,3.1135101,9.175851
-2.9617462,12.524597,3.937317,13.458824
-2.482788,4.0183105,0.048187256,4.723704
-1.7930908,9.17189,0.8336792,9.382631
0.14190674,7.4284973,-0.6031952,7.4542975
0.08442688,8.712097,-0.25834656,8.716335
0.33348083,8.577988,0.16313171,8.586017
-0.049682617,10.340546,0.20146179,10.342628
-1.486557,9.478424,-2.2508087,9.854772
-0.27957153,9.516739,0.41220093,9.529763
-0.96928406,7.256073,0.5463104,7.340883
-0.8160095,6.259842,2.0789642,6.6463213
-0.6819,7.9457703,3.7457428,8.810837
-0.8734894,9.1527405,7.8839264,12.111645
-4.8392487,6.3364716,0.5654602,7.993056
-1.6781311,8.961151,0.81451416,9.153239
1.617096,7.6392365,-0.75645447,7.845072
-0.66275024,8.6163025,-1.2354126,8.729613
0.2568512,8.942001,-0.27749634,8.949992
-0.79685974,9.976547,0.871994,10.046236
-2.789322,9.650848,-2.0017548,10.24335
-1.1033783,8.8845215,0.3930359,8.961398
-0.75852966,6.489731,0.58462524,6.5600123
-0.8160095,6.413101,2.0789642,6.7908635
-1.0650635,8.156509,4.224701,9.247222
0.81243896,6.777115,8.152145,10.632347
-5.528946,2.6963959,3.3242493,6.992169
-2.195404,9.018631,0.20146179,9.284185
0.1227417,8.233139,-0.31582642,8.2401085
-0.41368103,8.577988,-0.4690857,8.600759
0.08442688,8.558838,-0.23918152,8.562595
-0.16462708,10.340546,0.6612549,10.362974
-1.7930908,10.263916,-0.98635864,10.465947
-1.6589813,9.133575,1.7149658,9.440103
-0.950119,6.432266,0.58462524,6.5282893
-0.70106506,7.811661,3.2859344,8.503582
-0.96928406,8.922836,2.921936,9.438974
-0.85432434,9.804123,0.41220093,9.849904
-2.1570892,9.191055,-0.7373047,9.469538
-0.62442017,10.704559,-0.08592224,10.723101
-0.26042175,8.271454,-0.75645447,8.310053
-1.7164459,9.823273,-0.3349762,9.97773
-1.5631866,8.922836,0.067352295,9.058979
-1.9080353,8.961151,-0.047607422,9.162156
-1.6972961,9.056946,-0.08592224,9.2150135
-1.7930908,8.961151,-0.22003174,9.141434
---,---,---,---
-1.2374878,9.133575,1.6000061,9.354871
-1.1608582,8.922836,0.31640625,9.003594
-1.0842285,9.037796,0.35472107,9.109508
-1.1033783,9.037796,0.2972412,9.109751
-1.199173,8.942001,1.4850616,9.143457
-1.8122406,9.670013,2.1555939,10.071741
-0.72021484,7.4093323,3.630783,8.282481
-1.8888702,6.5280457,4.646179,8.232265
-2.0229797,6.470581,4.3588104,8.059782
-1.9846649,9.095261,5.0293427,10.580971
-3.1150055,11.030258,4.224701,12.21548
2.2876282,8.290619,0.91030884,8.648483
-1.6589813,9.478424,1.0061035,9.674967
-0.83517456,7.715866,-1.2162628,7.8556604
-0.1454773,9.1527405,-0.22003174,9.156541
-1.2949677,10.608765,-0.909729,10.726157
-3.498169,8.769577,-1.7335358,9.599365
-1.6015015,8.731262,1.7149658,9.041065
0.18022156,6.1065674,0.91030884,6.1766744
-1.1225433,6.6046906,4.0331116,7.8197207
-2.3869934,9.267685,7.5773926,12.206744
-2.8084717,5.244446,-1.1013031,6.050173
-1.927185,9.784958,-0.52656555,9.986827
1.3105621,6.240677,-0.44992065,6.392656
-1.9655151,8.654617,0.48883057,8.8884535
-4.283661,9.28685,1.6958008,10.366826
-6.0845337,11.451736,-1.2354126,13.026514
-3.3640594,7.9457703,0.603775,8.649666
-2.521103,4.6122284,1.8682251,5.5784297
-3.7280731,7.1027985,4.224701,9.066221
-5.1266327,6.8345795,8.13298,11.795729
-3.977127,7.926605,2.6728668,9.262442
-2.482788,10.072342,0.31640625,10.378653
-1.467392,6.8920593,0.5271454,7.06623
-1.9080353,8.424728,1.2551575,8.7288065
-3.2874298,11.011093,0.8336792,11.521562
-2.214569,8.769577,0.067352295,9.045128
-3.9004974,9.267685,-0.58403015,10.071989
-2.5785675,8.827042,0.58462524,9.214524
-2.3486786,9.076111,0.16313171,9.376496
-2.3486786,8.597153,-0.08592224,8.912615
-2.3295135,8.750412,0.124816895,9.056044
-2.482788,8.827042,0.2589264,9.173219
-2.3869934,8.922836,0.14398193,9.2377205
-2.2337189,8.846207,-0.009292603,9.123867
-2.1570892,8.807892,0.086502075,9.068598
-2.0229797,8.903687,0.124816895,9.131465
-2.482788,8.731262,-0.14338684,9.078532
---,---,---,---
-0.950119,9.22937,0.9869385,9.33049
-0.89263916,9.056946,0.2589264,9.10451
-0.83517456,9.076111,0.22061157,9.1171255
-0.79685974,9.095261,0.2589264,9.133772
-0.58610535,9.191055,0.81451416,9.245672
-1.1608582,10.110657,2.902771,10.58296
-1.0075989,8.443878,2.8069763,8.95508
-1.1033783,7.217758,3.7457428,8.206344
-1.1800232,7.1411133,4.0522766,8.295113
-1.9080353,9.248535,4.8760834,10.627897
-4.5710297,1.7767944,-0.622345,4.9435434
-1.4290771,10.838669,0.41220093,10.940243
0.81243896,8.175659,-0.64151,8.240934
0.94654846,8.539673,0.20146179,8.594333
0.8507538,10.283081,0.067352295,10.318434
-0.8160095,9.765808,-1.8101654,9.96562
0.44844055,8.252304,0.871994,8.310355
-1.3332825,7.1027985,2.0406494,7.5094366
0.41012573,5.972458,3.5924683,6.981711
-3.8047028,10.168121,7.213394,13.034551
0.48675537,9.976547,-1.5227966,10.103827
0.7932892,9.037796,0.086502075,9.072957
0.67832947,8.482193,-0.83309937,8.549958
-0.62442017,9.746643,0.871994,9.805474
-0.6052704,11.355942,0.64208984,11.390173
-0.8160095,9.056946,1.2168427,9.174685
0.5442352,5.3785553,0.5654602,5.4355125
-0.98843384,6.7388,3.4966736,7.6560535
-1.2758026,12.620392,4.013962,13.304655
-6.6018066,8.156509,1.8299103,10.651811
-1.7164459,9.631699,0.603775,9.802058
0.10359192,7.8308105,0.124816895,7.8324904
-0.030517578,8.712097,1.5808563,8.854416
-1.9655151,10.034027,-1.618576,10.35204
-1.7164459,9.574219,1.1785278,9.797999
-1.927185,7.735031,1.5808563,8.126737
